trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-175.1846400407089,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-83.51629515645048,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-76.22208716799192,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.6004955788122659}",30,8,-41.594527357701885,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,17,5.3181226427257045,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,10,-27.609171013359624,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.5488116360940264}",25,5,-7.990763996975058,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,14,22.52485398589941,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.5168513344916993}",25,9,-6.593778428855584,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.5015760690660556}",20,0,-20.474505336753925,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-20.687029595502395,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,0,-40.971897311237676,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.4584060113052235}",30,0,-185.81105276083872,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.44485806622294116}",35,3,-107.62125784584597,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 3}",1
28,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,12,-2.758478410633491,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.418951549247639}",20,12,1.7259365371425786,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.40656965974059917}",25,0,-81.72919240310623,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.39455371037160114}",20,13,13.820354152792074,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,9,-37.43984683245738,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.3715766910220457}",30,8,22.964183357497486,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,11,17.775112865506077,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.3499377491111553}",35,0,-13.455183602173362,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,12,-7.99694995177852,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.3295589610751891}",20,0,12.94454533914036,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.31981902181630395}",20,0,-2.512383502238518,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.31036694126548503}",30,19,16.969757522404606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,19,4.582053259169045,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,9,-27.35875033521475,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,7,-45.743237770017586,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,-50.19586983009422,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.2671353019658504}",25,6,-25.669265334855368,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.25924026064589156}",25,1,-21.264565283995395,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.2515785530597565}",20,10,-45.85379819133545,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.2441432831534371}",25,0,-7.101119965402522,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,11,3.7512386780056737,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
